aX,aY,aZ
15.6,-31.2,937.0
15.6,-31.2,983.8
15.6,-31.2,983.8
15.6,-15.6,952.6
15.6,-15.6,952.6
15.6,-15.6,937.0
31.2,-15.6,968.2
0.0,-15.6,937.0
15.6,-15.6,983.8
15.6,-31.2,999.4
15.6,-15.6,937.0
15.6,-15.6,952.6
15.6,-15.6,983.8
31.2,-15.6,952.6
31.2,0.0,983.8
31.2,-31.2,1046.3
15.6,-15.6,952.6
15.6,-15.6,937.0
31.2,-31.2,937.0
31.2,-15.6,968.2
31.2,-15.6,952.6
31.2,-15.6,937.0
15.6,-15.6,952.6
0.0,-15.6,937.0
15.6,-15.6,983.8
31.2,-15.6,968.2
31.2,-15.6,983.8
15.6,-15.6,968.2
0.0,-15.6,921.3
46.8,-31.2,968.2
15.6,-31.2,999.4
15.6,-31.2,968.2
15.6,-15.6,952.6
31.2,-15.6,968.2
15.6,-15.6,937.0
31.2,-31.2,999.4
0.0,-15.6,921.3
46.8,-15.6,999.4
31.2,-15.6,1046.3
0.0,0.0,1015.0
31.2,0.0,968.2
-15.6,-15.6,983.8
15.6,0.0,983.8
31.2,-31.2,983.8
15.6,-15.6,968.2
31.2,-15.6,1061.9
31.2,-15.6,1061.9
15.6,-31.2,1015.0
0.0,0.0,999.4
62.5,0.0,983.8
46.8,-15.6,983.8
31.2,-15.6,983.8
15.6,0.0,1030.7
78.1,0.0,983.8
31.2,-15.6,968.2
31.2,0.0,983.8
31.2,-15.6,1015.0
62.5,-15.6,1030.7
31.2,-15.6,968.2
0.0,-31.2,952.6
31.2,-15.6,999.4
31.2,-15.6,999.4
31.2,-15.6,1046.3
31.2,-15.6,952.6
31.2,-15.6,968.2
15.6,-31.2,921.3
31.2,-15.6,937.0
0.0,-15.6,1015.0
31.2,-15.6,937.0
31.2,-15.6,1015.0
15.6,-15.6,968.2
31.2,-15.6,952.6
0.0,-15.6,999.4
46.8,-15.6,1046.3
31.2,-15.6,968.2
31.2,-31.2,1015.0
31.2,0.0,983.8
31.2,-31.2,999.4
0.0,0.0,983.8
15.6,-15.6,999.4
15.6,-15.6,983.8
31.2,-15.6,968.2
31.2,-31.2,999.4
15.6,-46.8,952.6
15.6,-15.6,968.2
15.6,0.0,952.6
31.2,-15.6,952.6
31.2,-15.6,921.3
31.2,-31.2,952.6
31.2,-15.6,952.6
31.2,-15.6,952.6
15.6,-15.6,921.3
15.6,-15.6,968.2
0.0,-31.2,921.3
15.6,-15.6,968.2
15.6,-31.2,952.6
15.6,-15.6,968.2
31.2,-31.2,952.6
15.6,-31.2,999.4
31.2,-15.6,968.2
15.6,-31.2,999.4
15.6,-15.6,937.0
31.2,-15.6,968.2
-15.6,-15.6,952.6
15.6,-15.6,999.4
46.8,-15.6,1015.0
31.2,0.0,999.4
15.6,-15.6,1015.0
0.0,-15.6,983.8
31.2,-31.2,1061.9
15.6,-15.6,983.8
0.0,-31.2,921.3
15.6,-15.6,983.8
31.2,-15.6,968.2
15.6,-15.6,968.2
15.6,-31.2,968.2
15.6,-15.6,999.4
31.2,-15.6,937.0
15.6,-31.2,983.8
31.2,-31.2,999.4
31.2,-15.6,937.0
15.6,-15.6,968.2
31.2,-15.6,952.6
31.2,-15.6,968.2
31.2,-15.6,999.4
15.6,0.0,1046.3
31.2,-15.6,968.2
15.6,-31.2,921.3
15.6,-15.6,937.0
0.0,-15.6,968.2
15.6,-15.6,968.2
31.2,-15.6,968.2
15.6,-31.2,983.8
15.6,-15.6,968.2
15.6,-15.6,999.4
31.2,-31.2,983.8
15.6,-31.2,952.6
0.0,-15.6,968.2
15.6,-15.6,983.8
15.6,-31.2,999.4
15.6,-31.2,1030.7
15.6,-15.6,983.8
46.8,-15.6,999.4
31.2,0.0,983.8
31.2,-15.6,1030.7
78.1,-15.6,1030.7
31.2,-15.6,1030.7
31.2,-15.6,1061.9
15.6,-31.2,968.2
31.2,-15.6,968.2
15.6,-15.6,983.8
15.6,-31.2,999.4
15.6,-15.6,952.6
15.6,-31.2,983.8
31.2,-15.6,968.2
15.6,-15.6,937.0
31.2,-15.6,968.2
31.2,-15.6,968.2
31.2,-15.6,1030.7
0.0,-15.6,999.4
15.6,-15.6,999.4
15.6,-15.6,1015.0
15.6,-15.6,983.8
31.2,0.0,983.8
15.6,0.0,999.4
15.6,0.0,968.2
15.6,-31.2,968.2
15.6,-15.6,983.8
15.6,-31.2,1015.0
31.2,-15.6,1015.0
31.2,-15.6,968.2
15.6,-31.2,999.4
15.6,-15.6,999.4
78.1,-15.6,1030.7
15.6,-15.6,1061.9
31.2,-15.6,1077.5
31.2,-31.2,952.6
31.2,-15.6,968.2
15.6,-15.6,968.2
31.2,-15.6,983.8
15.6,-15.6,999.4
15.6,-15.6,937.0
0.0,-15.6,968.2
15.6,-15.6,983.8
31.2,-31.2,952.6
15.6,-31.2,983.8
31.2,-15.6,937.0
15.6,-31.2,983.8
31.2,-31.2,999.4
31.2,-15.6,983.8
15.6,-15.6,968.2
15.6,-15.6,952.6
31.2,-31.2,968.2
31.2,-31.2,952.6
31.2,-15.6,968.2
31.2,-15.6,952.6
31.2,-15.6,937.0
15.6,0.0,968.2
15.6,0.0,999.4
46.8,-15.6,999.4
31.2,-15.6,1015.0
15.6,0.0,983.8
46.8,-15.6,1030.7
31.2,-15.6,952.6
31.2,-15.6,968.2
0.0,-31.2,921.3
15.6,-15.6,999.4
15.6,-15.6,952.6
15.6,-15.6,983.8
15.6,-15.6,968.2
15.6,-31.2,983.8
31.2,-15.6,968.2
31.2,-31.2,983.8
15.6,-31.2,952.6
15.6,-15.6,952.6
31.2,-15.6,937.0
31.2,-15.6,952.6
31.2,-15.6,968.2
0.0,-31.2,952.6
15.6,-15.6,952.6
15.6,-15.6,968.2
15.6,-31.2,983.8
15.6,-15.6,968.2
15.6,-15.6,937.0
15.6,-15.6,952.6
31.2,-15.6,952.6
31.2,-31.2,952.6
31.2,-15.6,968.2
15.6,-15.6,983.8
15.6,-15.6,983.8
15.6,0.0,1061.9
0.0,-15.6,968.2
46.8,-15.6,999.4
31.2,-15.6,1015.0
46.8,0.0,1015.0
15.6,-15.6,983.8
15.6,-15.6,983.8
0.0,-31.2,968.2
0.0,-15.6,983.8
15.6,0.0,999.4
31.2,-15.6,1030.7
0.0,-15.6,968.2
15.6,-15.6,983.8
31.2,-31.2,968.2
15.6,-15.6,1015.0
15.6,-15.6,983.8
31.2,0.0,983.8
15.6,-15.6,983.8
31.2,-15.6,983.8
31.2,-15.6,999.4
46.8,-31.2,968.2
31.2,-15.6,1030.7
62.5,0.0,1015.0
0.0,-15.6,968.2
31.2,-15.6,1015.0
0.0,-15.6,968.2
15.6,-15.6,983.8
15.6,-15.6,968.2
15.6,-15.6,999.4
31.2,-15.6,952.6
15.6,-31.2,999.4
15.6,-15.6,999.4
15.6,-15.6,937.0
0.0,-15.6,983.8
15.6,-15.6,968.2
31.2,-46.8,999.4
15.6,-15.6,1015.0
31.2,-15.6,999.4
31.2,-15.6,983.8
15.6,0.0,983.8
15.6,0.0,1015.0
15.6,0.0,999.4
15.6,-31.2,952.6
15.6,-15.6,968.2
15.6,-15.6,968.2
31.2,-31.2,952.6
31.2,-31.2,937.0
15.6,-15.6,999.4
0.0,-15.6,968.2
46.8,-15.6,1030.7
15.6,-31.2,1030.7
31.2,-15.6,1030.7
15.6,0.0,983.8
31.2,-15.6,1030.7
15.6,-15.6,937.0
31.2,-31.2,983.8
31.2,-46.8,999.4
31.2,-15.6,968.2
31.2,-15.6,952.6
15.6,-15.6,937.0
15.6,-15.6,937.0
0.0,-31.2,968.2
15.6,-15.6,968.2
31.2,-15.6,952.6
15.6,-15.6,983.8
31.2,-31.2,968.2
15.6,-31.2,983.8
15.6,-15.6,983.8
15.6,-15.6,952.6
31.2,-31.2,968.2
31.2,-31.2,952.6
15.6,-15.6,983.8
15.6,-15.6,937.0
31.2,-15.6,968.2
0.0,-31.2,905.7
15.6,-15.6,952.6
15.6,-15.6,952.6
31.2,-15.6,968.2
15.6,-31.2,1030.7
15.6,0.0,983.8
46.8,-15.6,1015.0
31.2,-15.6,983.8
46.8,0.0,1015.0
0.0,0.0,968.2
15.6,-15.6,983.8
15.6,-15.6,999.4
31.2,0.0,968.2
0.0,-15.6,1046.3
31.2,-15.6,999.4
15.6,0.0,1015.0
31.2,-15.6,937.0
31.2,-31.2,952.6
31.2,-15.6,983.8
31.2,-15.6,1077.5
31.2,-46.8,952.6
15.6,-15.6,952.6
31.2,-15.6,968.2
31.2,-15.6,968.2
15.6,-15.6,968.2
31.2,-15.6,952.6
31.2,-15.6,983.8
15.6,-15.6,968.2
31.2,-15.6,968.2
31.2,-31.2,952.6
15.6,-15.6,968.2
0.0,-15.6,952.6
0.0,-15.6,983.8
15.6,-15.6,999.4
15.6,-15.6,1015.0
0.0,-15.6,983.8
31.2,-15.6,1046.3
31.2,-15.6,1046.3
31.2,-15.6,1015.0
31.2,0.0,1015.0
0.0,-15.6,983.8
15.6,0.0,968.2
15.6,-15.6,983.8
15.6,-15.6,1015.0
15.6,-15.6,1030.7
0.0,-15.6,968.2
15.6,-15.6,983.8
15.6,-15.6,952.6
15.6,-15.6,983.8
31.2,-15.6,983.8
15.6,-15.6,968.2
31.2,-15.6,999.4
31.2,-15.6,999.4
15.6,-15.6,983.8
31.2,-15.6,905.7
31.2,-15.6,968.2
0.0,-15.6,968.2
15.6,-15.6,937.0
15.6,-15.6,952.6
15.6,-15.6,937.0
31.2,-15.6,983.8
0.0,-15.6,952.6
46.8,-15.6,983.8
31.2,-15.6,1015.0
46.8,0.0,1015.0
15.6,-15.6,1015.0
15.6,-15.6,1046.3
31.2,-15.6,983.8
31.2,-15.6,952.6
15.6,-31.2,952.6
15.6,-15.6,952.6
0.0,-15.6,999.4
15.6,-15.6,968.2
31.2,-15.6,952.6
15.6,-15.6,999.4
31.2,-15.6,937.0
15.6,-31.2,983.8
31.2,-31.2,1015.0
31.2,-15.6,1030.7
-15.6,-15.6,999.4
15.6,-15.6,999.4
31.2,-15.6,1015.0
31.2,-15.6,983.8
31.2,-15.6,983.8
31.2,0.0,1046.3
31.2,-15.6,968.2
15.6,-31.2,952.6
15.6,-15.6,952.6
0.0,-15.6,983.8
31.2,-15.6,968.2
31.2,-15.6,968.2
31.2,-15.6,983.8
15.6,-15.6,968.2
15.6,-15.6,999.4
15.6,-15.6,1015.0
31.2,-15.6,1030.7
0.0,-15.6,983.8
15.6,-15.6,1030.7
15.6,-15.6,1030.7
15.6,-15.6,1030.7
46.8,0.0,1015.0
15.6,-15.6,968.2
15.6,-15.6,983.8
-15.6,-15.6,968.2
15.6,0.0,999.4
15.6,-15.6,952.6
15.6,-15.6,983.8
31.2,-15.6,952.6
-15.6,-31.2,983.8
15.6,-15.6,999.4
15.6,-15.6,999.4
31.2,0.0,1015.0
31.2,-15.6,1030.7
15.6,-15.6,1015.0
15.6,-15.6,999.4
46.8,0.0,999.4
15.6,-46.8,968.2
31.2,-15.6,1046.3
78.1,0.0,1030.7
0.0,-15.6,983.8
15.6,-15.6,1030.7
15.6,0.0,952.6
31.2,-15.6,999.4
15.6,0.0,1030.7
15.6,-15.6,968.2
31.2,0.0,999.4
31.2,-15.6,1015.0
15.6,-15.6,952.6
31.2,-15.6,983.8
0.0,-31.2,905.7
15.6,-15.6,968.2
15.6,-15.6,952.6
15.6,-15.6,983.8
31.2,-31.2,1015.0
31.2,0.0,1015.0
31.2,-15.6,1015.0
0.0,-31.2,952.6
46.8,0.0,999.4
0.0,-15.6,983.8
15.6,-15.6,1015.0
15.6,-15.6,937.0
31.2,-31.2,952.6
15.6,-15.6,968.2
0.0,-15.6,968.2
15.6,-15.6,968.2
15.6,-46.8,952.6
31.2,-31.2,968.2
15.6,-15.6,999.4
15.6,-15.6,999.4
15.6,-31.2,937.0
15.6,-15.6,968.2
15.6,-31.2,952.6
15.6,-15.6,968.2
15.6,-15.6,968.2
46.8,-31.2,952.6
15.6,-15.6,952.6
15.6,-15.6,968.2
15.6,-15.6,968.2
15.6,0.0,968.2
15.6,-15.6,1015.0
15.6,-15.6,983.8
31.2,-15.6,968.2
31.2,-31.2,937.0
31.2,-15.6,952.6
0.0,-15.6,983.8
15.6,-15.6,983.8
15.6,-15.6,968.2
0.0,-15.6,921.3
46.8,-15.6,1015.0
15.6,-15.6,983.8
31.2,0.0,1015.0
0.0,-31.2,999.4
31.2,0.0,1015.0
31.2,-15.6,1015.0
15.6,-15.6,1030.7
15.6,0.0,1030.7
78.1,0.0,983.8
46.8,-15.6,983.8
31.2,-15.6,983.8
31.2,0.0,999.4
31.2,-31.2,968.2
31.2,-31.2,937.0
15.6,-31.2,999.4
15.6,-31.2,968.2
15.6,-15.6,968.2
15.6,-31.2,952.6
15.6,-15.6,983.8
31.2,-15.6,983.8
15.6,-31.2,999.4
15.6,-31.2,968.2
31.2,-31.2,983.8
31.2,-15.6,999.4
15.6,-15.6,952.6
15.6,-15.6,968.2
31.2,-15.6,921.3
15.6,-15.6,968.2
0.0,-31.2,968.2
15.6,-15.6,983.8
15.6,-15.6,952.6
15.6,-15.6,983.8
15.6,-31.2,968.2
0.0,-15.6,952.6
46.8,-31.2,968.2
31.2,-15.6,1015.0
31.2,0.0,1015.0
15.6,-15.6,983.8
15.6,-15.6,999.4
15.6,-31.2,999.4
15.6,-15.6,999.4
15.6,-15.6,952.6
31.2,-15.6,1030.7
0.0,-15.6,952.6
15.6,-15.6,1015.0
31.2,-31.2,1030.7
46.8,0.0,983.8
62.5,-15.6,1030.7
15.6,-31.2,999.4
46.8,0.0,1015.0
15.6,-15.6,968.2
15.6,-15.6,983.8
15.6,-15.6,999.4
15.6,-15.6,999.4
31.2,-15.6,968.2
15.6,0.0,1046.3
15.6,-15.6,968.2
0.0,-31.2,983.8
15.6,0.0,983.8
15.6,-15.6,999.4
31.2,-31.2,952.6
15.6,0.0,983.8
78.1,0.0,983.8
46.8,-15.6,983.8
31.2,-15.6,952.6
31.2,0.0,1015.0
62.5,0.0,1030.7
15.6,-31.2,999.4
31.2,-15.6,983.8
0.0,-31.2,1061.9
31.2,-15.6,999.4
15.6,0.0,1061.9
31.2,-15.6,937.0
31.2,-31.2,937.0
15.6,-15.6,983.8
0.0,-15.6,952.6
15.6,-15.6,983.8
31.2,-31.2,1030.7
31.2,0.0,999.4
46.8,-15.6,1015.0
31.2,-15.6,983.8
31.2,0.0,1015.0
15.6,-15.6,983.8
15.6,-15.6,983.8
0.0,-31.2,952.6
31.2,-15.6,968.2
15.6,-31.2,952.6
15.6,-15.6,983.8
15.6,-15.6,999.4
15.6,-15.6,999.4
15.6,-15.6,983.8
15.6,-15.6,983.8
0.0,-15.6,968.2
15.6,-15.6,1015.0
31.2,0.0,1046.3
0.0,-15.6,983.8
31.2,-31.2,968.2
31.2,-15.6,999.4
15.6,-31.2,968.2
31.2,-15.6,999.4
15.6,-31.2,952.6
15.6,-15.6,999.4
15.6,-15.6,968.2
31.2,-31.2,1015.0
31.2,0.0,999.4
15.6,0.0,968.2
15.6,-31.2,952.6
15.6,-15.6,983.8
15.6,-15.6,952.6
15.6,-15.6,968.2
0.0,-31.2,921.3
15.6,-15.6,968.2
15.6,-15.6,968.2
15.6,-15.6,983.8
31.2,-15.6,968.2
15.6,-15.6,983.8
15.6,-15.6,983.8
15.6,-15.6,952.6
31.2,-46.8,968.2
31.2,-15.6,921.3
0.0,0.0,968.2
15.6,-15.6,937.0
31.2,-31.2,937.0
15.6,-15.6,937.0
0.0,-15.6,999.4
31.2,-15.6,983.8
15.6,-15.6,1015.0
31.2,-15.6,1015.0
31.2,-15.6,983.8
31.2,-15.6,952.6
15.6,-15.6,1061.9
15.6,0.0,983.8
0.0,-15.6,999.4
15.6,0.0,1030.7
15.6,-15.6,1030.7
15.6,-31.2,999.4
15.6,-15.6,952.6
15.6,-31.2,983.8
31.2,-31.2,1015.0
15.6,-15.6,1015.0
0.0,-15.6,999.4
15.6,-15.6,983.8
0.0,-15.6,952.6
31.2,-15.6,999.4
31.2,-15.6,1030.7
0.0,-15.6,968.2
46.8,-15.6,1061.9
31.2,-15.6,1061.9
15.6,0.0,1030.7
31.2,0.0,1077.5
31.2,-31.2,968.2
15.6,-15.6,968.2
31.2,-15.6,968.2
31.2,-15.6,968.2
31.2,-31.2,983.8
15.6,-15.6,968.2
31.2,0.0,1077.5
31.2,-46.8,983.8
31.2,-15.6,952.6
15.6,-15.6,968.2
15.6,-15.6,968.2
31.2,-15.6,983.8
31.2,-15.6,937.0
31.2,-15.6,999.4
31.2,-15.6,1061.9
15.6,-46.8,952.6
15.6,-31.2,1015.0
15.6,-15.6,999.4
31.2,0.0,1015.0
0.0,-15.6,983.8
0.0,-15.6,983.8
31.2,-15.6,1015.0
46.8,-15.6,1077.5
15.6,-31.2,952.6
15.6,-31.2,999.4
15.6,-15.6,937.0
15.6,-15.6,968.2
46.8,-46.8,983.8
31.2,-15.6,983.8
0.0,-15.6,968.2
15.6,-15.6,999.4
15.6,-15.6,983.8
0.0,-15.6,952.6
31.2,-31.2,983.8
15.6,-31.2,999.4
15.6,-31.2,999.4
15.6,-15.6,968.2
15.6,-15.6,968.2
0.0,-31.2,905.7
15.6,-15.6,983.8
31.2,-15.6,952.6
31.2,-15.6,968.2
15.6,-15.6,983.8
15.6,-15.6,968.2
15.6,-15.6,952.6
15.6,-15.6,952.6
31.2,-46.8,968.2
31.2,-15.6,983.8
0.0,-15.6,983.8
15.6,-15.6,937.0
31.2,-15.6,968.2
15.6,-15.6,968.2
15.6,-15.6,968.2
31.2,-15.6,968.2
0.0,-31.2,952.6
15.6,-15.6,1046.3
78.1,-15.6,1030.7
31.2,-15.6,1046.3
15.6,-15.6,1030.7
31.2,-15.6,1015.0
15.6,-15.6,983.8
15.6,0.0,1046.3
15.6,0.0,1015.0
46.8,-15.6,937.0
15.6,-15.6,999.4
15.6,-15.6,999.4
-15.6,-15.6,968.2
15.6,-15.6,999.4
62.5,-15.6,999.4
31.2,-15.6,1015.0
15.6,-15.6,1030.7
15.6,0.0,1015.0
31.2,-15.6,999.4
46.8,-15.6,1015.0
31.2,-15.6,968.2
0.0,-31.2,952.6
31.2,-31.2,937.0
15.6,-15.6,952.6
0.0,0.0,983.8
31.2,-15.6,921.3
15.6,-31.2,983.8
15.6,-15.6,983.8
-15.6,-15.6,968.2
15.6,-15.6,999.4
62.5,-15.6,999.4
31.2,-15.6,1030.7
15.6,-15.6,1015.0
31.2,-15.6,1030.7
31.2,0.0,1015.0
0.0,-31.2,1015.0
15.6,0.0,999.4
15.6,-15.6,1030.7
31.2,-31.2,983.8
31.2,-15.6,968.2
0.0,-15.6,968.2
31.2,-31.2,999.4
31.2,-31.2,983.8
15.6,-31.2,1030.7
15.6,0.0,1015.0
15.6,-31.2,1030.7
15.6,0.0,1015.0
15.6,-15.6,1030.7
15.6,-31.2,999.4
31.2,-15.6,968.2
15.6,-15.6,952.6
31.2,-31.2,952.6
31.2,-15.6,968.2
0.0,-15.6,968.2
0.0,-15.6,983.8
31.2,0.0,999.4
31.2,-15.6,1015.0
78.1,-15.6,1030.7
15.6,-15.6,999.4
0.0,-31.2,983.8
31.2,0.0,999.4
-15.6,-15.6,983.8
15.6,0.0,1015.0
15.6,-15.6,968.2
31.2,-31.2,952.6
31.2,-15.6,968.2
0.0,-15.6,983.8
31.2,-31.2,983.8
31.2,-15.6,999.4
0.0,-15.6,937.0
31.2,-15.6,999.4
31.2,0.0,1030.7
15.6,-15.6,1030.7
0.0,-15.6,999.4
31.2,-15.6,983.8
0.0,-15.6,983.8
31.2,0.0,999.4
0.0,-15.6,999.4
15.6,-15.6,999.4
31.2,-15.6,999.4
62.5,-15.6,999.4
31.2,-15.6,1015.0
31.2,0.0,1061.9
31.2,-15.6,921.3
31.2,-31.2,983.8
31.2,-15.6,937.0
15.6,-15.6,968.2
15.6,-15.6,968.2
31.2,-31.2,968.2
31.2,-15.6,983.8
15.6,-15.6,1015.0
15.6,-15.6,952.6
15.6,-31.2,999.4
15.6,-15.6,968.2
15.6,-15.6,952.6
46.8,-31.2,952.6
31.2,-15.6,952.6
0.0,-15.6,968.2
0.0,0.0,983.8
15.6,-15.6,999.4
15.6,-15.6,1030.7
46.8,-15.6,968.2
15.6,0.0,999.4
15.6,0.0,968.2
15.6,-15.6,1030.7
78.1,-15.6,1015.0
31.2,-15.6,968.2
15.6,-15.6,968.2
15.6,-15.6,968.2
31.2,-15.6,952.6
15.6,-15.6,983.8
15.6,-15.6,983.8
15.6,0.0,999.4
62.5,-15.6,983.8
15.6,0.0,1015.0
15.6,-15.6,983.8
0.0,-15.6,1015.0
15.6,-15.6,968.2
31.2,0.0,1030.7
31.2,-31.2,999.4
31.2,-31.2,983.8
15.6,-15.6,968.2
0.0,-15.6,968.2
15.6,0.0,968.2
31.2,-31.2,968.2
15.6,-15.6,968.2
0.0,-15.6,968.2
0.0,-15.6,999.4
31.2,0.0,1046.3
15.6,-15.6,1015.0
0.0,-15.6,983.8
15.6,0.0,1030.7
31.2,-15.6,1046.3
31.2,-31.2,999.4
31.2,-15.6,937.0
15.6,-15.6,983.8
46.8,-46.8,952.6
15.6,-15.6,952.6
0.0,-15.6,952.6
15.6,-15.6,983.8
15.6,-31.2,968.2
15.6,-15.6,999.4
15.6,-15.6,921.3
15.6,-15.6,983.8
31.2,-31.2,952.6
31.2,-15.6,968.2
0.0,-15.6,968.2
15.6,-15.6,983.8
31.2,-15.6,968.2
15.6,-15.6,983.8
15.6,-15.6,952.6
15.6,-15.6,968.2
15.6,-31.2,921.3
31.2,-31.2,968.2
31.2,-15.6,1061.9
31.2,-15.6,999.4
15.6,-31.2,952.6
15.6,-15.6,983.8
31.2,-15.6,999.4
15.6,-15.6,999.4
15.6,-31.2,968.2
0.0,-15.6,968.2
0.0,-15.6,999.4
15.6,0.0,1015.0
31.2,-15.6,952.6
78.1,0.0,1030.7
0.0,-15.6,999.4
31.2,0.0,1030.7
31.2,-15.6,999.4
31.2,0.0,999.4
31.2,-31.2,999.4
15.6,0.0,1030.7
31.2,-15.6,1015.0
15.6,-31.2,1015.0
15.6,-15.6,983.8
31.2,0.0,999.4
31.2,-31.2,983.8
15.6,-15.6,1015.0
62.5,0.0,1030.7
15.6,-31.2,983.8
31.2,-15.6,983.8
15.6,-15.6,1046.3
31.2,-15.6,1015.0
0.0,-15.6,1015.0
15.6,-15.6,968.2
31.2,-15.6,968.2
46.8,-15.6,1030.7
31.2,-31.2,999.4
15.6,-15.6,952.6
15.6,-15.6,999.4
31.2,-15.6,968.2
15.6,0.0,1015.0
31.2,-15.6,999.4
15.6,-15.6,968.2
-15.6,-31.2,999.4
0.0,-15.6,1015.0
0.0,-31.2,983.8
15.6,0.0,1015.0
31.2,-15.6,1015.0
0.0,-15.6,968.2
15.6,-15.6,1030.7
15.6,-15.6,937.0
31.2,-31.2,937.0
31.2,-15.6,968.2
0.0,-15.6,968.2
31.2,-15.6,968.2
31.2,-15.6,952.6
15.6,-31.2,999.4
15.6,-31.2,968.2
15.6,-15.6,968.2
15.6,-46.8,937.0
15.6,-15.6,968.2
15.6,-15.6,1046.3
31.2,-15.6,999.4
15.6,-15.6,968.2
31.2,-15.6,983.8
31.2,-31.2,999.4
15.6,-15.6,937.0
15.6,-15.6,968.2
0.0,-15.6,952.6
15.6,-31.2,983.8
15.6,-31.2,983.8
15.6,-15.6,1015.0
15.6,-31.2,999.4
31.2,0.0,1030.7
46.8,0.0,983.8
15.6,0.0,999.4
46.8,-15.6,1015.0
31.2,-15.6,983.8
46.8,0.0,1015.0
15.6,-15.6,968.2
15.6,-15.6,999.4
0.0,-31.2,952.6
15.6,-15.6,968.2
15.6,-15.6,983.8
-15.6,-15.6,999.4
15.6,0.0,999.4
15.6,-15.6,999.4
-15.6,-15.6,983.8
15.6,-15.6,968.2
31.2,0.0,1077.5
46.8,-46.8,983.8
31.2,-15.6,968.2
0.0,-15.6,968.2
15.6,-15.6,983.8
15.6,-31.2,983.8
15.6,-15.6,999.4
15.6,-15.6,937.0
31.2,-31.2,999.4
46.8,-31.2,968.2
15.6,-15.6,952.6
15.6,-15.6,983.8
15.6,-15.6,968.2
31.2,0.0,968.2
15.6,-15.6,1030.7
15.6,-15.6,952.6
15.6,-31.2,999.4
15.6,-15.6,952.6
15.6,-31.2,968.2
31.2,-15.6,968.2
15.6,0.0,937.0
15.6,-15.6,999.4
31.2,0.0,999.4
31.2,-31.2,983.8
15.6,0.0,1030.7
15.6,-15.6,1030.7
15.6,-31.2,1015.0
15.6,-15.6,983.8
46.8,-15.6,999.4
31.2,-15.6,968.2
15.6,0.0,1030.7
62.5,0.0,983.8
62.5,-15.6,999.4
31.2,-15.6,983.8
15.6,-15.6,999.4
78.1,0.0,968.2
31.2,-31.2,937.0
31.2,-31.2,999.4
15.6,-31.2,968.2
31.2,-15.6,983.8
31.2,-15.6,952.6
15.6,-15.6,968.2
15.6,-15.6,952.6
15.6,-31.2,983.8
15.6,-15.6,952.6
15.6,-15.6,968.2
46.8,-31.2,952.6
31.2,-15.6,952.6
15.6,-15.6,968.2
31.2,-15.6,937.0
15.6,0.0,952.6
15.6,-15.6,1015.0
15.6,-15.6,968.2
31.2,-31.2,952.6
46.8,-31.2,968.2
31.2,-15.6,968.2
-15.6,-15.6,983.8
15.6,0.0,968.2
31.2,-31.2,952.6
15.6,-15.6,999.4
31.2,-15.6,952.6
15.6,-31.2,983.8
31.2,-31.2,983.8
15.6,-31.2,968.2
15.6,-15.6,968.2
15.6,-15.6,952.6
31.2,-15.6,968.2
15.6,-31.2,952.6
31.2,-15.6,968.2
0.0,-31.2,983.8
15.6,-15.6,968.2
15.6,-31.2,952.6
15.6,-31.2,999.4
15.6,-15.6,921.3
15.6,-15.6,983.8
46.8,-46.8,952.6
31.2,-31.2,968.2
15.6,-15.6,952.6
15.6,-31.2,952.6
31.2,0.0,952.6
0.0,-15.6,1030.7
78.1,0.0,968.2
46.8,-15.6,952.6
31.2,-31.2,968.2
31.2,-31.2,968.2
31.2,-15.6,952.6
31.2,-31.2,952.6
15.6,-31.2,952.6
31.2,-31.2,983.8
0.0,-15.6,968.2
46.8,-15.6,1015.0
31.2,-15.6,983.8
15.6,0.0,999.4
62.5,-15.6,1015.0
31.2,-31.2,983.8
0.0,-31.2,952.6
0.0,-31.2,937.0
31.2,-15.6,983.8
31.2,-15.6,1015.0
15.6,-15.6,968.2
31.2,-15.6,952.6
0.0,-31.2,952.6
15.6,-15.6,952.6
31.2,-31.2,999.4
0.0,-15.6,968.2
15.6,0.0,1015.0
31.2,-15.6,1015.0
0.0,-15.6,999.4
31.2,0.0,1030.7
15.6,-15.6,1015.0
15.6,-15.6,937.0
31.2,-15.6,952.6
31.2,-15.6,968.2
0.0,-31.2,921.3
15.6,-15.6,952.6
31.2,-15.6,952.6
15.6,-31.2,937.0
15.6,-15.6,968.2
0.0,-15.6,937.0
31.2,-15.6,968.2
31.2,-15.6,1030.7
31.2,-15.6,999.4
15.6,-15.6,968.2
31.2,-15.6,983.8
15.6,-15.6,1015.0
0.0,-15.6,999.4
46.8,0.0,983.8
0.0,-15.6,999.4
15.6,0.0,1030.7
31.2,-15.6,1030.7
15.6,-15.6,1030.7
15.6,0.0,999.4
15.6,-15.6,1030.7
62.5,-15.6,968.2
31.2,-15.6,968.2
62.5,-15.6,1046.3
31.2,-15.6,983.8
15.6,-15.6,937.0
15.6,-15.6,983.8
15.6,0.0,937.0
15.6,-31.2,1030.7
31.2,-15.6,1015.0
15.6,0.0,1030.7
15.6,-15.6,937.0
15.6,-15.6,952.6
31.2,-15.6,968.2
0.0,-31.2,905.7
15.6,-15.6,937.0
15.6,-15.6,952.6
15.6,-15.6,937.0
15.6,-31.2,968.2
0.0,-15.6,937.0
